GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana1S7.service,AnalyticsService,2,212,0,8,1,56,1,26,1,22
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio1,EmailSender,0,9,0,0,0,3,0,2,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio1,SmsSender,0,9,0,0,0,3,0,2,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio1,Notification,0,17,0,0,0,7,0,3,0,3
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio1,NotificationService,0,13,0,2,0,5,0,3,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio1,PushSender,0,9,0,0,0,3,0,2,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio2,StripeAdapter,7,3,0,0,2,1,1,1,1,1
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio2,CreditCardAdapter,0,10,0,0,0,3,0,2,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio2,PaymentValidator,0,26,0,4,0,8,0,5,0,3
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio2,BalanceValidator,0,9,0,0,0,3,0,2,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio2,PaymentService,3,30,1,3,1,10,1,3,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio2,FraudValidator,0,9,0,0,0,3,0,2,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio2,PaypalAdapter,0,10,0,0,0,3,0,2,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio2,LimitValidator,0,15,0,2,0,3,0,3,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana2S8.ejercicio2,BankTransferAdapter,0,10,0,0,0,3,0,2,0,2
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana1S7.model,Grade,14,24,0,0,2,9,2,4,2,4
bitacoraDows,edu.dosw.bitacora.bitacora_DOSW.semana1S7.model,Student,34,24,4,0,6,9,5,4,3,4
